,City,Cloudiness ,Country ,Date,Humidity ,Lat,Lng,Max Temp,Wind Speed
88,walvis bay,90,na,1561621694,77,-22.95,14.51,15.0,4.6
89,luanda,75,ao,1561622084,83,-8.83,13.24,21.0,2.6
90,sao felix do xingu,0,br,1561622031,86,-6.64,-51.99,19.46,1.31
91,palestine,1,us,1561621962,88,31.76,-95.63,22.0,2.1
92,brae,75,gb,1561621594,87,60.4,-1.35,12.0,4.6
93,caravelas,21,br,1561621548,92,-17.73,-39.27,21.16,1.72
94,bethel,90,us,1561621519,72,60.79,-161.76,18.0,2.6
95,coquimbo,0,cl,1561621586,87,-29.95,-71.34,9.0,3.1
96,qeshm,0,ir,1561622086,67,26.96,56.27,39.0,4.1
97,mehamn,75,no,1561621548,93,71.03,27.85,7.0,11.3
98,izumo,75,jp,1561622087,88,35.37,132.75,25.0,5.1
99,sabzevar,0,ir,1561622087,11,36.21,57.68,30.46,4.68
100,port elizabeth,1,za,1561621497,94,39.31,-74.98,24.0,3.1
101,port blair,98,in,1561621545,79,11.67,92.75,28.96,10.85
102,khatanga,100,ru,1561621534,26,71.98,102.47,16.76,2.66
103,kiruna,100,se,1561622088,49,67.86,20.23,9.0,6.7
104,talnakh,100,ru,1561621497,61,69.49,88.39,8.0,8.0
105,berberati,100,cf,1561622089,86,4.26,15.79,22.26,3.59
106,sorland,75,no,1561621541,70,67.67,12.69,9.0,3.6
107,mahebourg,40,mu,1561621555,74,-20.41,57.7,26.0,6.2
108,ribeira grande,75,pt,1561621521,63,38.52,-28.7,18.0,2.6
109,greenwood,100,us,1561621575,85,49.09,-118.68,8.66,1.0
110,labuhan,14,id,1561621684,57,-2.54,115.51,31.56,0.94
111,cockburn town,100,bs,1561621919,79,21.46,-71.14,27.56,7.14
112,esperance,40,au,1561621583,51,-33.86,121.89,17.0,9.3
113,puerto del rosario,20,es,1561622091,68,28.5,-13.86,22.0,6.2
114,lahij,78,ye,1561622091,36,13.06,44.88,36.86,3.47
115,port hardy,40,ca,1561621606,93,50.7,-127.42,11.0,0.59
116,narsaq,90,gl,1561621635,87,60.91,-46.05,8.0,4.6
117,ponta do sol,31,cv,1561621499,59,-20.63,-46.0,16.46,1.91
118,bandar-e lengeh,0,ir,1561622093,45,26.56,54.88,38.0,4.1
119,evensk,90,ru,1561621584,60,61.92,159.24,14.66,5.56
120,quatre cocos,40,mu,1561621525,74,-20.21,57.76,26.0,6.2
121,port alfred,0,za,1561621531,76,-33.59,26.89,16.11,1.79
122,lubango,0,ao,1561621620,31,-14.92,13.49,24.06,1.28
123,lucea,20,jm,1561622094,78,18.44,-78.17,28.0,2.1
124,verkhovye,100,ru,1561622095,93,52.81,37.24,17.96,4.5
125,beringovskiy,100,ru,1561621602,82,63.05,179.32,8.96,3.13
126,guerrero negro,94,mx,1561621699,87,27.97,-114.04,17.26,5.21
127,the valley,20,ai,1561621559,78,18.22,-63.06,27.22,4.6
128,cairns,92,au,1561622026,64,-16.92,145.77,23.0,7.2
129,san quintin,100,mx,1561621633,86,17.54,120.52,26.56,3.77
130,petauke,8,zm,1561622096,32,-14.25,31.33,25.06,2.3
131,nouadhibou,0,mr,1561622097,73,20.93,-17.03,21.0,10.3
132,puerto madryn,0,ar,1561622097,52,-42.77,-65.04,7.76,6.27
133,aksarka,72,ru,1561621641,41,66.56,67.8,15.16,3.07
134,sao filipe,0,cv,1561621503,84,14.9,-24.5,23.46,10.83
135,castro,90,cl,1561621561,93,-42.48,-73.76,7.0,3.6
136,ixtapa,90,mx,1561621592,78,20.71,-105.21,28.33,5.94
137,lagawe,100,ph,1561622098,99,16.8,121.12,18.46,0.31
138,nhulunbuy,75,au,1561622099,78,-12.18,136.78,25.0,5.1
139,hilo,90,us,1561622099,78,19.71,-155.08,26.0,3.6
140,kahului,40,us,1561622099,57,20.89,-156.47,27.0,2.1
141,porto novo,40,cv,1561622100,93,-23.68,-45.44,18.0,0.5
142,victoria,75,sc,1561621526,66,5.28,115.24,32.0,3.1
143,fortuna,1,us,1561621510,93,40.6,-124.16,12.22,3.6
